iter	Passed	Remaining
0	1	171
1	3	161
2	4	157
3	6	154
4	8	152
5	9	147
6	10	142
7	12	138
8	13	135
9	14	133
10	16	130
11	17	127
12	18	124
13	19	122
14	21	122
15	22	119
16	23	117
17	25	114
18	26	111
19	27	109
20	28	107
21	29	105
22	30	103
23	31	100
24	32	98
25	34	96
26	35	95
27	36	94
28	38	93
29	39	92
30	40	91
31	42	89
32	43	88
33	45	87
34	46	86
35	47	84
36	48	83
37	50	82
38	51	81
39	53	79
40	54	78
41	55	76
42	56	74
43	57	73
44	59	72
45	60	70
46	61	69
47	63	68
48	64	67
49	65	65
50	66	64
51	67	62
52	69	61
53	70	59
54	70	58
55	72	56
56	73	55
57	74	53
58	75	52
59	76	51
60	77	49
61	79	48
62	80	47
63	81	45
64	82	44
65	83	43
66	84	41
67	85	40
68	86	39
69	88	38
70	89	36
71	91	35
72	92	34
73	93	32
74	94	31
75	95	30
76	96	28
77	98	27
78	99	26
79	100	25
80	101	23
81	102	22
82	103	21
83	105	20
84	106	18
85	107	17
86	108	16
87	109	14
88	110	13
89	112	12
90	113	11
91	114	9
92	115	8
93	116	7
94	117	6
95	118	4
96	119	3
97	121	2
98	122	1
99	124	0
